topic number,perplexity,coherence,metric
2,3229.880290184679,0.7218062371015549,c_v
4,3118.1832405707682,0.7050124553963543,c_v
6,3046.881117249488,0.7014363683760165,c_v
8,2947.3923498917347,0.6963737518759445,c_v
10,2863.1678019774267,0.6899741017445923,c_v
12,2858.7108763633364,0.697278174230208,c_v
14,2712.1480395698754,0.6950967663499926,c_v
16,2656.380689191862,0.701364710344933,c_v
18,2608.16882180408,0.6831290636418594,c_v
20,2537.4272598794832,0.6925156360212713,c_v
22,2532.2468752708673,0.690991024148058,c_v
24,2456.396226050266,0.7120954484523585,c_v
26,2433.5479054391235,0.7046343632328969,c_v
28,2385.104497716744,0.7052876003884843,c_v
30,2369.69112221131,0.6806527234458677,c_v
32,2345.282381842652,0.6996458081412128,c_v
34,2285.958006464453,0.6933709796216777,c_v
36,2297.1354771116216,0.7032162642623815,c_v
38,2289.2847000340753,0.6916269596788641,c_v
40,2278.2183345689614,0.6865266879345289,c_v
42,2200.3273956060834,0.6784902609263858,c_v
44,2208.2115789163986,0.6792916817844592,c_v
46,2171.6229797523088,0.6758198858522203,c_v
48,2158.9850981365876,0.6748594236715385,c_v
50,2140.332448861101,0.6780879609398545,c_v
52,2124.3640478155635,0.6745584899881999,c_v
54,2092.925864978876,0.6788860131460416,c_v
56,2106.34381937775,0.6771754629477595,c_v
58,2053.6323246735456,0.6795891822155181,c_v
60,2073.110783675896,0.6611200691697497,c_v
62,2068.1836459817937,0.6744940541128837,c_v
64,2029.5679117700492,0.6652454333292552,c_v
66,2008.68777204207,0.672841330256426,c_v
68,2009.2257313999328,0.6679059225463256,c_v
70,2018.0751123001573,0.6648554781238948,c_v
72,1978.249845289319,0.6613945234463444,c_v
74,1967.321140050938,0.6651089347093491,c_v
76,1972.035380803929,0.6699903475482166,c_v
78,1984.6825759059464,0.660002128858394,c_v
80,1943.413828669934,0.6636718805599955,c_v
82,1949.0048179268526,0.6632632759002197,c_v
84,1926.1329107097092,0.6653066025425989,c_v
86,1938.5887339634062,0.6547765292097317,c_v
88,1913.2919905622502,0.662338133073949,c_v
90,1919.198425108329,0.6642097429434458,c_v
92,1902.4364083256069,0.6553130667616168,c_v
94,1885.5494184478384,0.6534699254847588,c_v
96,1876.0952046942998,0.659818654045618,c_v
98,1877.8935951778822,0.6597119375683216,c_v
100,1868.6360474929563,0.6629758197590708,c_v
